R1-class-rename	build	ng	-	pass
R1-class-rename	e2e	board.spec.ts	filters by severity and shows the details of a clicked incident	pass
R1-class-rename	e2e	board.spec.ts	is operable by keyboard alone, with a visible focus indicator	pass
R1-class-rename	e2e	board.spec.ts	non-happy states are reachable by URL and raise no errors > empty	pass
R1-class-rename	e2e	board.spec.ts	non-happy states are reachable by URL and raise no errors > failed	pass
R1-class-rename	e2e	board.spec.ts	non-happy states are reachable by URL and raise no errors > loading	pass
R1-class-rename	e2e	board.spec.ts	non-happy states are reachable by URL and raise no errors > stale keeps the table and says how old it is	pass
R1-class-rename	e2e	smoke.spec.ts	/ mounts with no uncaught error and a non-empty root	pass
R1-class-rename	e2e	smoke.spec.ts	/board mounts with no uncaught error and a non-empty root	pass
R1-class-rename	jest	advanced-form.validators.spec.ts	passwordMatchValidator returns null when confirmPassword is empty	pass
R1-class-rename	jest	advanced-form.validators.spec.ts	passwordMatchValidator returns null when passwords match	pass
R1-class-rename	jest	advanced-form.validators.spec.ts	passwordMatchValidator returns passwordMismatch when passwords differ	pass
R1-class-rename	jest	advanced-form.validators.spec.ts	usernameTakenValidator emits null for an available name	pass
R1-class-rename	jest	advanced-form.validators.spec.ts	usernameTakenValidator emits null immediately for an empty value	pass
R1-class-rename	jest	advanced-form.validators.spec.ts	usernameTakenValidator emits usernameTaken for a taken name	pass
R1-class-rename	jest	advanced-form.validators.spec.ts	usernameTakenValidator matches taken names case-insensitively	pass
R1-class-rename	jest	board.spec.ts	Board announces a failed load as an alert and renders no table	pass
R1-class-rename	jest	board.spec.ts	Board keeps the table and says how old stale data is	pass
R1-class-rename	jest	board.spec.ts	Board lists every incident in a table with column headers, and shows severity as visible text	pass
R1-class-rename	jest	board.spec.ts	Board narrows the rows to the chosen severity and marks that filter as pressed	pass
R1-class-rename	jest	board.spec.ts	Board says so for loading and empty, without a table	pass
R1-class-rename	jest	board.spec.ts	Board shows the selected incident's details with its severity spelled out	pass
R1-class-rename	jest	board.spec.ts	Board stops showing details for an incident the active filter hides	pass
R1-class-rename	jest	format-age.spec.ts	formatAge never goes negative when the instant is in the future	pass
R1-class-rename	jest	format-age.spec.ts	formatAge shows hours and remaining minutes under a day, and drops a zero remainder	pass
R1-class-rename	jest	format-age.spec.ts	formatAge shows minutes under an hour	pass
R1-class-rename	jest	format-age.spec.ts	formatAge shows whole days from 24 hours	pass
R1-class-rename	jest	incident-source.spec.ts	IncidentSource reports each non-data scenario as its own status	pass
R1-class-rename	jest	incident-source.spec.ts	IncidentSource serves the same incidents for the stale scenario, marked with when they were last refreshed	pass
R1-class-rename	jest	incident-source.spec.ts	IncidentSource serves the whole fixture, fresh, with no scenario or an unknown one	pass
